name,original_sic,kovrr_sic,address,country_code,industry,domain,revenue,num_of_employee,source
baw buenos aires welding s.r.l.,14,14,"san justo, buenos aires, argentina",AR,NA,baw.com.ar,NA,-1,more missing 190626
sermico srl,14,14,"alderetes, tucuman, argentina",AR,NA,sermico.com.ar,NA,-1,more missing 190626
argentoil s.a.,14,14,"san fernando, buenos aires, argentina",AR,NA,inflex.com.ar,NA,-1,more missing 190626
rojas & asociados,14,14,"mendoza, mendoza, argentina",AR,NA,rojasyasociados.com,NA,-1,more missing 190626
alex stewart argentina,14,14,"mendoza, mendoza, argentina",AR,NA,alexstewart.com.ar,NA,-1,more missing 190626
bertotto boglione,14,14,"marcos juarez, cordoba, argentina",AR,NA,bertotto-boglione.com.ar,NA,-1,more missing 190626
imsa cables el©ctricos y productos para bobinaje,14,14,"merlo, buenos aires, argentina",AR,NA,imsa.com.ar,NA,-1,more missing 190626
ceras san juan s.a.,14,14,"santa lucia, san juan, argentina",AR,NA,cerassj.com,NA,-1,more missing 190626
argentina mining,14,14,"mendoza, mendoza, argentina",AR,NA,argentinamining.com,NA,-1,more missing 190626
larocca mineria s.a.,14,14,"buenos aires, buenos aires f.d., argentina",AR,NA,laroccamineria.com.ar,NA,-1,more missing 190626
minera tea,14,14,"san juan, san juan, argentina",AR,NA,mineratea.com.ar,NA,-1,more missing 190626
smg servicios mineros,14,14,"san salvador de jujuy, jujuy, argentina",AR,NA,smgminera.com,NA,-1,more missing 190626
poberaj s.a.,14,14,"buenos aires, buenos aires f.d., argentina",AR,NA,poberaj.com.ar,NA,-1,more missing 190626
compa±ia argentina de perforaciones s.a,14,14,"salta, salta, argentina",AR,NA,caperforaciones.com,NA,-1,more missing 190626
fluorita crdoba s.a.,14,14,"crdoba, cordoba, argentina",AR,NA,fluoritacordoba.com.ar,NA,-1,more missing 190626
soldaduras especiales srl,14,14,"crdoba, cordoba, argentina",AR,NA,ctsalloys.com,NA,-1,more missing 190626
rhi magnesita,14,14,"vienna, wien, austria",AT,NA,rhimagnesita.com,NA,-1,more missing 190626
voestalpine,14,14,"linz, upper austria, austria",AT,NA,voestalpine.com,NA,-1,more missing 190626
rhi ag,14,14,"vienna, wien, austria",AT,NA,rhi-ag.com,NA,-1,more missing 190626
welser profile,14,14,"ybbsitz, lower austria, austria",AT,NA,welser.com,NA,-1,more missing 190626
hammerer aluminium industries gmbh,14,14,"ranshofen, upper austria, austria",AT,NA,hai-aluminium.at,NA,-1,more missing 190626
aßos bohler-uddeholm do brasil,14,14,"linz, upper austria, austria",AT,NA,bohler-uddeholm.com.br,NA,-1,more missing 190626
salzburger aluminium ag,14,14,"schwarzach im pongau, salzburg, austria",AT,NA,sag.at,NA,-1,more missing 190626
bhler edelstahl gmbh & co kg,14,14,"kapfenberg, styria, austria",AT,NA,bohler-edelstahl.com,NA,-1,more missing 190626
worthington cylinders gmbh,14,14,"gaming, lower austria, austria",AT,NA,wthg.at,NA,-1,more missing 190626
voestalpine bohler welding india,14,14,"linz, upper austria, austria",AT,NA,bohlerweldinggroupindia.com,NA,-1,more missing 190626
schmolz+bickenbach austria gmbh,14,14,"vienna, wien, austria",AT,NA,schmolz-bickenbach.at,NA,-1,more missing 190626
montanwerke brixlegg ag,14,14,"wien, vienna, austria",AT,NA,montanwerke-brixlegg.com,NA,-1,more missing 190626
plansee group,14,14,"reutte, tyrol, austria",AT,NA,plansee-group.com,NA,-1,more missing 190626
voestalpine bhler welding austria gmbh,14,14,"kapfenberg, styria, austria",AT,NA,boehler-welding.com,NA,-1,more missing 190626
bhp billiton,14,14,"melbourne, victoria, australia",AU,NA,bhp.com,NA,-1,more missing 190626
orica,14,14,"melbourne, victoria, australia",AU,NA,orica.com,NA,-1,more missing 190626
newcrest mining,14,14,"melbourne, victoria, australia",AU,NA,newcrest.com.au,NA,-1,more missing 190626
als,14,14,"brisbane, queensland, australia",AU,NA,alsglobal.com,NA,-1,more missing 190626
south32,14,14,"perth, western australia, australia",AU,NA,south32.net,NA,-1,more missing 190626
mmg limited,14,14,"southbank, victoria, australia",AU,NA,mmg.com,NA,-1,more missing 190626
ausenco,14,14,"melbourne street station, queensland, australia",AU,NA,ausenco.com,NA,-1,more missing 190626
bhp billiton,14,14,"melbourne, victoria, australia",AU,NA,bhpbilliton.com,NA,-1,more missing 190626
harmony gold,14,14,"milton, new south wales, australia",AU,NA,harmony.co.za,NA,-1,more missing 190626
calibre,14,14,"perth, western australia, australia",AU,NA,calibreglobal.com.au,NA,-1,more missing 190626
panaust,14,14,"fortitude valley, queensland, australia",AU,NA,panaust.com.au,NA,-1,more missing 190626
citic pacific mining,14,14,"perth, western australia, australia",AU,NA,citicpacificmining.com,NA,-1,more missing 190626
macmahon,14,14,"perth, western australia, australia",AU,NA,macmahon.com.au,NA,-1,more missing 190626
iluka resources,14,14,"perth, western australia, australia",AU,NA,iluka.com,NA,-1,more missing 190626
barminco,14,14,"perth, western australia, australia",AU,NA,barminco.com.au,NA,-1,more missing 190626
evolution mining,14,14,"sydney, new south wales, australia",AU,NA,evolutionmining.com.au,NA,-1,more missing 190626
sedgman limited,14,14,"brisbane, queensland, australia",AU,NA,sedgman.com,NA,-1,more missing 190626
mineral resources limited,14,14,"applecross, western australia, australia",AU,NA,mineralresources.com.au,NA,-1,more missing 190626
oz minerals,14,14,"melbourne, victoria, australia",AU,NA,ozminerals.com,NA,-1,more missing 190626
northern star resources limited,14,14,"stirling, western australia, australia",AU,NA,nsrltd.com,NA,-1,more missing 190626
st barbara limited,14,14,"melbourne, victoria, australia",AU,NA,stbarbara.com.au,NA,-1,more missing 190626
byrnecut offshore pty ltd,14,14,"perth, western australia, australia",AU,NA,byrnecutoffshore.com,NA,-1,more missing 190626
rio tinto coal australia,14,14,"brisbane, queensland, australia",AU,NA,riotintocoalaustralia.com.au,NA,-1,more missing 190626
lycopodium,14,14,"perth, western australia, australia",AU,NA,lycopodium.com.au,NA,-1,more missing 190626
ausdrill,14,14,"canning vale, western australia, australia",AU,NA,ausdrill.com.au,NA,-1,more missing 190626
maca ltd,14,14,"welshpool, western australia, australia",AU,NA,maca.net.au,NA,-1,more missing 190626
pybar mining services,14,14,"orange, new south wales, australia",AU,NA,pybar.com.au,NA,-1,more missing 190626
queensland alumina limited,14,14,"gladstone, queensland, australia",AU,NA,qal.com.au,NA,-1,more missing 190626
linkforce engineering,14,14,"perth, western australia, australia",AU,NA,linkforce.com.au,NA,-1,more missing 190626
tomago aluminium,14,14,"tomago, new south wales, australia",AU,NA,tomago.com.au,NA,-1,more missing 190626
karara mining ltd,14,14,"perth, western australia, australia",AU,NA,kararamining.com.au,NA,-1,more missing 190626
resolute mining limited,14,14,"perth, western australia, australia",AU,NA,rml.com.au,NA,-1,more missing 190626
fenner dunlop australia pty ltd,14,14,"footscray, victoria, australia",AU,NA,fennerdunlop.com.au,NA,-1,more missing 190626
imdex limited,14,14,"perth, western australia, australia",AU,NA,imdexlimited.com,NA,-1,more missing 190626
independence group (igo),14,14,"south perth, western australia, australia",AU,NA,igo.com.au,NA,-1,more missing 190626
new hope group,14,14,"brookwater, queensland, australia",AU,NA,newhopegroup.com.au,NA,-1,more missing 190626
aj lucas,14,14,"macquarie park, new south wales, australia",AU,NA,lucas.com.au,NA,-1,more missing 190626
orrcon steel,14,14,"salisbury, south australia, australia",AU,NA,orrconsteel.com.au,NA,-1,more missing 190626
wagners,14,14,"toowoomba, queensland, australia",AU,NA,wagner.com.au,NA,-1,more missing 190626
amc consultants,14,14,"melbourne, victoria, australia",AU,NA,amcconsultants.com,NA,-1,more missing 190626
mastermyne group,14,14,"mackay, queensland, australia",AU,NA,mastermyne.com.au,NA,-1,more missing 190626
csa mine glencore xstrata,14,14,"cobar, new south wales, australia",AU,NA,csamine.com.au,NA,-1,more missing 190626
deswik,14,14,"brisbane, queensland, australia",AU,NA,deswik.com,NA,-1,more missing 190626
groundprobe,14,14,"brisbane, queensland, australia",AU,NA,groundprobe.com,NA,-1,more missing 190626
msp engineering pty ltd,14,14,"perth, western australia, australia",AU,NA,mspengineering.com.au,NA,-1,more missing 190626
gold corporation - the perth mint,14,14,"perth, western australia, australia",AU,NA,perthmint.com.au,NA,-1,more missing 190626
immersive technologies,14,14,"perth, western australia, australia",AU,NA,immersivetechnologies.com,NA,-1,more missing 190626
mst global,14,14,"ryde, new south wales, australia",AU,NA,mstglobal.com,NA,-1,more missing 190626
coal services pty limited,14,14,"sydney, new south wales, australia",AU,NA,coalservices.com.au,NA,-1,more missing 190626
csa global,14,14,"perth, western australia, australia",AU,NA,csaglobal.com,NA,-1,more missing 190626
queensland nickel,14,14,"townsville, queensland, australia",AU,NA,qni.com.au,NA,-1,more missing 190626
syrah resources ltd,14,14,"melbourne, victoria, australia",AU,NA,syrahresources.com.au,NA,-1,more missing 190626
mineral technologies,14,14,"gold coast, queensland, australia",AU,NA,mineraltechnologies.com,NA,-1,more missing 190626
mount gibson iron,14,14,"perth, western australia, australia",AU,NA,mtgibsoniron.com.au,NA,-1,more missing 190626
grange resources,14,14,"burnie, tasmania, australia",AU,NA,grangeresources.com.au,NA,-1,more missing 190626
coventry group ltd,14,14,"melbourne, victoria, australia",AU,NA,cgl.com.au,NA,-1,more missing 190626
regis resources ltd,14,14,"laverton, victoria, australia",AU,NA,regisresources.com.au,NA,-1,more missing 190626
swick mining services ltd,14,14,"guildford, western australia, australia",AU,NA,swickmining.com,NA,-1,more missing 190626
refmet engineering services,14,14,"melbourne, victoria, australia",AU,NA,refmet.net,NA,-1,more missing 190626
cpc engineering,14,14,"perth, western australia, australia",AU,NA,cpcengineering.com.au,NA,-1,more missing 190626
cmoc northparkes mines,14,14,"parkes, new south wales, australia",AU,NA,northparkes.com,NA,-1,more missing 190626
fast jv,14,14,"perth, western australia, australia",AU,NA,fastjv.com.au,NA,-1,more missing 190626
arrium mining,14,14,"sydney, new south wales, australia",AU,NA,arrium.com.au,NA,-1,more missing 190626
minjar gold pty ltd,14,14,"perth, western australia, australia",AU,NA,minjargold.com.au,NA,-1,more missing 190626
austin engineering ltd,14,14,"carole park, queensland, australia",AU,NA,austineng.com.au,NA,-1,more missing 190626
h-e parts international,14,14,"atlanta, georgia, united states",AU,NA,h-epartsinternational.com,NA,-1,more missing 190626
sandfire resources nl,14,14,"perth, western australia, australia",AU,NA,sandfire.com.au,NA,-1,more missing 190626
ugm australia,14,14,"teralba, new south wales, australia",AU,NA,ugm.com.au,NA,-1,more missing 190626
curragh mine,14,14,"blackwater, queensland, australia",AU,NA,wesresources.com.au,NA,-1,more missing 190626
engenium,14,14,"perth, western australia, australia",AU,NA,engenium.com.au,NA,-1,more missing 190626
convatech,14,14,"warabrook, new south wales, australia",AU,NA,convatech.com.au,NA,-1,more missing 190626
wisely group,14,14,"mackay, queensland, australia",AU,NA,wisely.com.au,NA,-1,more missing 190626
gma garnet group,14,14,"perth, western australia, australia",AU,NA,garnetsales.com,NA,-1,more missing 190626
atlas iron limited,14,14,"perth, western australia, australia",AU,NA,atlasiron.com.au,NA,-1,more missing 190626
gekko systems,14,14,"ballarat, victoria, australia",AU,NA,gekkos.com,NA,-1,more missing 190626
mining associates,14,14,"brisbane, queensland, australia",AU,NA,miningassociates.com,NA,-1,more missing 190626
sun engineering (qld) pty ltd,14,14,"brisbane, queensland, australia",AU,NA,suneng.com.au,NA,-1,more missing 190626
btp group,14,14,"hazelmere, western australia, australia",AU,NA,btparts.com.au,NA,-1,more missing 190626
snowden,14,14,"east perth, western australia, australia",AU,NA,snowdengroup.com,NA,-1,more missing 190626
mining people international,14,14,"perth, western australia, australia",AU,NA,miningpeople.com.au,NA,-1,more missing 190626
sumatra copper and gold,14,14,"perth, western australia, australia",AU,NA,sumatracoppergold.com,NA,-1,more missing 190626
minprovise,14,14,"welshpool, western australia, australia",AU,NA,minprovise.com.au,NA,-1,more missing 190626
fero group,14,14,"kewdale, western australia, australia",AU,NA,fero.com.au,NA,-1,more missing 190626
paladin africa ltd,14,14,"subiaco, western australia, australia",AU,NA,paladinenergy.com.au,NA,-1,more missing 190626
glencore technology,14,14,"brisbane, queensland, australia",AU,NA,glencoretechnology.com,NA,-1,more missing 190626
exact mining services pty ltd,14,14,"adelaide, south australia, australia",AU,NA,exactcontracting.com.au,NA,-1,more missing 190626
minearc systems,14,14,"perth, western australia, australia",AU,NA,minearc.com,NA,-1,more missing 190626
diab engineering pty ltd,14,14,"geraldton, western australia, australia",AU,NA,diabeng.com.au,NA,-1,more missing 190626
geographe enterprises,14,14,"perth, western australia, australia",AU,NA,geographe.com.au,NA,-1,more missing 190626
elastomers australia,14,14,"melbourne, victoria, australia",AU,NA,elastomersaustralia.com.au,NA,-1,more missing 190626
mec mining,14,14,"brisbane, queensland, australia",AU,NA,mecmining.com,NA,-1,more missing 190626
mining one consultants,14,14,"melbourne, victoria, australia",AU,NA,miningone.com.au,NA,-1,more missing 190626
atc williams,14,14,"mordialloc, victoria, australia",AU,NA,atcwilliams.com.au,NA,-1,more missing 190626
minetec pty ltd,14,14,"willetton, western australia, australia",AU,NA,minetec.com.au,NA,-1,more missing 190626
chinova resources pty ltd,14,14,"milton, new south wales, australia",AU,NA,chinovaresources.com,NA,-1,more missing 190626
lva,14,14,"yeppoon, queensland, australia",AU,NA,lva.com.au,NA,-1,more missing 190626
tmm group,14,14,"brisbane, queensland, australia",AU,NA,tmmgroup.com.au,NA,-1,more missing 190626
ramelius resources limited,14,14,"perth, western australia, australia",AU,NA,matagalls.com,NA,-1,more missing 190626
doray minerals limited,14,14,"perth, western australia, australia",AU,NA,dorayminerals.com.au,NA,-1,more missing 190626
national pump & energy,14,14,"birtinya, queensland, australia",AU,NA,nationalpump.com.au,NA,-1,more missing 190626
xenith consulting,14,14,"brisbane, queensland, australia",AU,NA,xenith.com.au,NA,-1,more missing 190626
sefar filter specialists pty ltd,14,14,"huntingwood, new south wales, australia",AU,NA,sefar.com,NA,-1,more missing 190626
millennium minerals limited,14,14,"perth, western australia, australia",AU,NA,millenniumminerals.com.au,NA,-1,more missing 190626
alkane resources ltd,14,14,"burswood, western australia, australia",AU,NA,alkane.com.au,NA,-1,more missing 190626
cudeco limited,14,14,"southport, queensland, australia",AU,NA,cudeco.com.au,NA,-1,more missing 190626
pims group - australia,14,14,"mackay, queensland, australia",AU,NA,pimsgroup.com.au,NA,-1,more missing 190626
uon pty ltd,14,14,"perth, western australia, australia",AU,NA,uon.com.au,NA,-1,more missing 190626
dawsons group of companies,14,14,"stratford, queensland, australia",AU,NA,dawsonseng.com.au,NA,-1,more missing 190626
jtmec pty ltd,14,14,"stirling, western australia, australia",AU,NA,jtmec.com.au,NA,-1,more missing 190626
mancala group,14,14,"glen waverley, victoria, australia",AU,NA,mancala.com.au,NA,-1,more missing 190626
heathgate resources pty ltd,14,14,"adelaide, south australia, australia",AU,NA,heathgate.com.au,NA,-1,more missing 190626
imatech,14,14,"castle hill, new south wales, australia",AU,NA,imatech.com.au,NA,-1,more missing 190626
ngarda civil & mining,14,14,"perth, western australia, australia",AU,NA,ngarda.com.au,NA,-1,more missing 190626
hmg hardchrome,14,14,"meeandah, queensland, australia",AU,NA,hmghardchrome.com.au,NA,-1,more missing 190626
rsc mining & mineral exploration,14,14,"perth, western australia, australia",AU,NA,rscmme.com,NA,-1,more missing 190626
imp group (pty) ltd,14,14,"perth, western australia, australia",AU,NA,impautomation.com,NA,-1,more missing 190626
mineware,14,14,"brisbane, queensland, australia",AU,NA,mineware.com,NA,-1,more missing 190626
tasman power,14,14,"jandakot, western australia, australia",AU,NA,tasmanpower.com,NA,-1,more missing 190626
austube mills,14,14,"mayfield, tasmania, australia",AU,NA,austubemills.com,NA,-1,more missing 190626
jsw australia,14,14,"bibra lake, western australia, australia",AU,NA,jswaustralia.com,NA,-1,more missing 190626
palaris,14,14,"newcastle, new south wales, australia",AU,NA,palaris.com,NA,-1,more missing 190626
wearx,14,14,"hexham, new south wales, australia",AU,NA,wearx.com,NA,-1,more missing 190626
hahn electrical contracting pty ltd,14,14,"perth, western australia, australia",AU,NA,hahnelec.com.au,NA,-1,more missing 190626
qcc resources,14,14,"east maitland, new south wales, australia",AU,NA,qccresources.com,NA,-1,more missing 190626
mining employment services,14,14,"perth, western australia, australia",AU,NA,miningemployment.com.au,NA,-1,more missing 190626
como engineers pty. ltd.,14,14,"north fremantle, western australia, australia",AU,NA,comoeng.com.au,NA,-1,more missing 190626
core resources pty ltd,14,14,"albion, queensland, australia",AU,NA,coreresources.com.au,NA,-1,more missing 190626
binder group pty ltd,14,14,"kewdale, western australia, australia",AU,NA,bindergrp.com,NA,-1,more missing 190626
dingo,14,14,"wilston, queensland, australia",AU,NA,dingo.com,NA,-1,more missing 190626
gcg health safety & hygiene,14,14,"perth, western australia, australia",AU,NA,gcg.net.au,NA,-1,more missing 190626
work management solutions,14,14,"perth, western australia, australia",AU,NA,workmanagementsolutions.com.au,NA,-1,more missing 190626
rud australia,14,14,"brisbane, queensland, australia",AU,NA,rud.com.au,NA,-1,more missing 190626
interlloy pty. ltd,14,14,"vitoria, espirito santo, brazil",AU,NA,interlloy.com.au,NA,-1,more missing 190626
amma - australia's resource industry employer group,14,14,"melbourne, victoria, australia",AU,NA,amma.org.au,NA,-1,more missing 190626
cutting edges equipment parts,14,14,"revesby, new south wales, australia",AU,NA,cuttingedges.com,NA,-1,more missing 190626
tasman rope access,14,14,"canning vale, western australia, australia",AU,NA,tasmanropeaccess.com,NA,-1,more missing 190626
antec engineering pty ltd,14,14,"blacktown, new south wales, australia",AU,NA,antec.com.au,NA,-1,more missing 190626
wiggins island coal export terminal pty ltd,14,14,"brisbane, queensland, australia",AU,NA,wicet.com.au,NA,-1,more missing 190626
expressway spares pty ltd,14,14,"wauchope, new south wales, australia",AU,NA,expressway.com.au,NA,-1,more missing 190626
diverse group australia,14,14,"malaga, western australia, australia",AU,NA,diversegroupaustralia.com,NA,-1,more missing 190626
mitchell services limited (asx: msv),14,14,"seventeen mile rocks, queensland, australia",AU,NA,mitchellservices.com.au,NA,-1,more missing 190626
galaxy resources,14,14,"perth, western australia, australia",AU,NA,galaxylithium.com,NA,-1,more missing 190626
middlemount coal pty ltd,14,14,"brisbane, queensland, australia",AU,NA,middlemountcoal.com.au,NA,-1,more missing 190626
jaws buckets & attachments,14,14,"archerfield, queensland, australia",AU,NA,jaws.com.au,NA,-1,more missing 190626
cse-uniserve pty ltd,14,14,"baulkham hills, new south wales, australia",AU,NA,cse-uniserve.com.au,NA,-1,more missing 190626
resource equipment limited,14,14,"welshpool, western australia, australia",AU,NA,rel.com.au,NA,-1,more missing 190626
aspec engineering,14,14,"brisbane, queensland, australia",AU,NA,aspec.com.au,NA,-1,more missing 190626
focus minerals,14,14,"east perth, western australia, australia",AU,NA,focusminerals.com.au,NA,-1,more missing 190626
klinge & co pty ltd,14,14,"brisbane, queensland, australia",AU,NA,klinge.com.au,NA,-1,more missing 190626
paull & warner resources,14,14,"bassendean, western australia, australia",AU,NA,pwr.net.au,NA,-1,more missing 190626
mining3,14,14,"brisbane, queensland, australia",AU,NA,mining3.com,NA,-1,more missing 190626
murray engineering.,14,14,"pinjarra, western australia, australia",AU,NA,murrayengineering.com.au,NA,-1,more missing 190626
qg,14,14,"fremantle, western australia, australia",AU,NA,qgconsulting.com.au,NA,-1,more missing 190626
m1 solutions,14,14,"indooroopilly, queensland, australia",AU,NA,m1solutions.com.au,NA,-1,more missing 190626
mca engineering group,14,14,"parkes, new south wales, australia",AU,NA,mcagroup.com.au,NA,-1,more missing 190626
proteus epcm engineers,14,14,"perth, western australia, australia",AU,NA,proteusgroup.com.au,NA,-1,more missing 190626
techserve,14,14,"mackay, queensland, australia",AU,NA,techserve.com.au,NA,-1,more missing 190626
tawana resources nl,14,14,"nedlands, western australia, australia",AU,NA,tawana.com.au,NA,-1,more missing 190626
ensham resources pty ltd.,14,14,"brisbane, queensland, australia",AU,NA,ensham.com.au,NA,-1,more missing 190626
bisalloy steels,14,14,"wollongong, new south wales, australia",AU,NA,bisalloy.com.au,NA,-1,more missing 190626
dgr global,14,14,"brisbane, queensland, australia",AU,NA,dgrglobal.com.au,NA,-1,more missing 190626
altura mining limited,14,14,"subiaco, western australia, australia",AU,NA,alturamining.com,NA,-1,more missing 190626
industrial galvanizers australia,14,14,"brisbane, queensland, australia",AU,NA,ingal.com.au,NA,-1,more missing 190626
jktech pty ltd,14,14,"indooroopilly, queensland, australia",AU,NA,jktech.com.au,NA,-1,more missing 190626
solgold plc,14,14,"brisbane, queensland, australia",AU,NA,solgold.com.au,NA,-1,more missing 190626
kimberley diamond company,14,14,"sydney, new south wales, australia",AU,NA,kdl.com.au,NA,-1,more missing 190626
mcelroy bryan geological services,14,14,"sydney, new south wales, australia",AU,NA,mbgs.com.au,NA,-1,more missing 190626
nemms jv,14,14,"stirling, western australia, australia",AU,NA,nemmsjv.com.au,NA,-1,more missing 190626
the haynes group,14,14,"brisbane, queensland, australia",AU,NA,haynesgroup.com.au,NA,-1,more missing 190626
duratray international,14,14,"bayswater, western australia, australia",AU,NA,duratray.com,NA,-1,more missing 190626
"hi-quality group: quarry, waste management and logistics",14,14,"kemps creek, new south wales, australia",AU,NA,hiquality.com.au,NA,-1,more missing 190626
south east conveyors & engineering,14,14,"mount gambier, south australia, australia",AU,NA,seconveyors.com.au,NA,-1,more missing 190626
sibelco australia & new zealand,14,14,"north sydney, new south wales, australia",AU,NA,sibelco.com.au,NA,-1,more missing 190626
digirock,14,14,"guildford, western australia, australia",AU,NA,digirock.com.au,NA,-1,more missing 190626
smw group australia,14,14,"rockhampton, queensland, australia",AU,NA,smwgroup.com.au,NA,-1,more missing 190626
mintrex,14,14,"subiaco, western australia, australia",AU,NA,mintrex.com.au,NA,-1,more missing 190626
delta sbd limited,14,14,"campbelltown, new south wales, australia",AU,NA,deltasbd.com.au,NA,-1,more missing 190626
eastern guruma pty ltd,14,14,"perth, western australia, australia",AU,NA,easternguruma.com.au,NA,-1,more missing 190626
queensland resources council,14,14,"brisbane, queensland, australia",AU,NA,qrc.org.au,NA,-1,more missing 190626
subzero group limited- mining support specialists,14,14,"muswellbrook, new south wales, australia",AU,NA,subzeroservices.com.au,NA,-1,more missing 190626
pit n portal,14,14,"perth, western australia, australia",AU,NA,pitnportal.com.au,NA,-1,more missing 190626
mineexcellence(me),14,14,"melbourne, victoria, australia",AU,NA,mineexcellence.com,NA,-1,more missing 190626
cockburn cement limited,14,14,"munster, western australia, australia",AU,NA,cockburncement.com.au,NA,-1,more missing 190626
alloy steel international,14,14,"malaga, western australia, australia",AU,NA,alloysteel.net,NA,-1,more missing 190626
castlemaine goldfields limited,14,14,"mount clear, victoria, australia",AU,NA,cgt.net.au,NA,-1,more missing 190626
kobalt enc pty ltd,14,14,"homebush, queensland, australia",AU,NA,kobaltenc.com,NA,-1,more missing 190626
interquip construction pty ltd,14,14,"maddington, western australia, australia",AU,NA,interquip.com.au,NA,-1,more missing 190626
new century resources,14,14,"melbourne, victoria, australia",AU,NA,newcenturyresources.com,NA,-1,more missing 190626
gb auto electrics,14,14,"orange, new south wales, australia",AU,NA,gbauto.com.au,NA,-1,more missing 190626
the chamber of minerals and energy of western australia,14,14,"perth, western australia, australia",AU,NA,cmewa.com.au,NA,-1,more missing 190626
vaas industries pvt. ltd.,14,14,"melbourne, victoria, australia",AU,NA,anengpacific.com,NA,-1,more missing 190626
measured group pty ltd,14,14,"brisbane, queensland, australia",AU,NA,measuredgroup.com.au,NA,-1,more missing 190626
hosch international,14,14,"recklinghausen, nordrhein-westfalen, germany",AU,NA,hosch.com.au,NA,-1,more missing 190626
minnovare,14,14,"bentley, western australia, australia",AU,NA,minnovare.com,NA,-1,more missing 190626
deepcore drilling pty ltd,14,14,"golden gully, victoria, australia",AU,NA,deepcoredrilling.com,NA,-1,more missing 190626
entech pty ltd,14,14,"subiaco, western australia, australia",AU,NA,entechmining.com,NA,-1,more missing 190626
