name,domain,kovrr_sic,country_code
Acupuncture Eastern Med Center,,80,US_MT
Falco Joe Portable Welding Inc,,76,US_DE
mmp bv,,73,NL
Hiscock Barclay Llp,,81,US_DC
Imaging & X-Ray International Inc,,76,US_RI
Bruce C Enni Attorney,,81,US_DE
Donald L Brown,,73,US_VT
Dean Brown M,,73,US_ME
Salem Mennonite Brethren Church,,86,US_SD
Coping Life,,80,US_NH
meadowlark assisted living,,80,US_MT
Robert B Perry Assocs Inc,,87,US_VT
Friedberg Michael A,,81,US_DE
Elkins High Rollers Club,,79,US_WV
Music Box Mobile Disco,,79,US_HI
Ocean House Massage,,72,US_ME
B And T Enterprizes,,73,US_MT
Jon Lee Cleaning Service,,73,US_HI
Pot Nets Lakeside Comm Center,,79,US_DE
Fotos Stratius & Donna,,80,US_WV
Mark T Muranaka,,73,US_HI
Saravia Georgina DO,,80,US_WV
Rock Solid Photography In,,72,US_WY
Hawthorne Carpet Cleaners,,72,US_DC
Kb Machine,,76,US_VT
Keirstead Dwight,,87,US_ME
Valanzano & Assoc,,81,US_DC
Robert M Richardson Family Foundation,,86,US_DE
k.l films,,78,FR
Myron E Alley,,73,US_ME
Tech For Tomorrow Inc,,73,US_WY
Bouncopy Finnancial Usa LLC,,87,US_DE
Q-T Creations,,73,US_NH
James W Preston,,73,US_WV
Cary M Kanemoto Cpa,,87,US_HI
Nordic Knoll Rentals,,65,US_ME
Frank Rinas,,21,US_SD
Prichard Tree & Lawn Service,,78,US_WV
Grb Enterprises LLC,,87,US_WV
Thomas J And Olive C Watson Foundation,,86,US_DE
Michael Goheen,,73,US_WY
Wisdom One LLC,,73,US_DC
Interlakes Area United Way Corporation,,73,US_SD
American Timber & Wildlife Man,,87,US_WV
Deval Products LLC,,87,US_RI
Drader Petroleum Consulting LLC,,87,US_ND
Fairhaven Assoc,,87,US_NH
Mllh Enterprise LLC,,73,US_RI
Mark A Hughes Md Pllc,,80,US_WV
Neat & Trim Lawn Care,,78,US_NH
Gymfinity,,79,US_WV
Mc Cullom-Bary Susan E DDS,,80,US_NH
Marcus F Katkin,,78,US_NH
Wjw Associates LLC,,73,US_DE
Oakvale Church Of Bretheren,,86,US_WV
Professional Massage Thera,,72,US_RI
William Carnright,,73,US_VT
Allen Jeffrey L,,80,US_MT
Howard B Katzoff Law Office,,81,US_DC
Coleman-Specht Group,,87,US_VT
City Chemical Inc,,73,US_HI
Lawrence S Holt Trust,,86,US_RI
Philip United Methodist Church,,86,US_SD
St Mary's Catholic Church,,86,US_ME
Bar Double T Ranch Inc,,29,US_MT
Mceachern Duncan,,81,US_ME
Kelly Johnson,,73,US_MT
Hymount Photography,,72,US_MT
Limbic Networks LLC,,73,US_NH
Andy Bin,,72,US_DC
Audrey Galli Physical Therapy,,80,US_RI
Gunness Financial Services,,87,US_RI
Kak Promotions LLC,,87,US_DC
Ksm Enterprises Inc,,87,US_ME
Sarah Daniels Photography,,72,US_MT
Candace L Ogle Esq,,81,US_WV
softwareone switzerland,,73,CH
Lynch Stonework Inc,,73,US_ME
fgi,,73,CA
American Innovative MI Assoc,,73,US_MT
Leavitt Park Club House,,86,US_NH
The Excelsior Foundation,,86,US_DE
Farm Bureau Insurance,,64,US_SD
Smart Tax,,87,US_MT
Benny J Harris,,73,US_WV
D R General Repair,,76,US_WV
Pat's Beauty Salon,,72,US_RI
M J Abbott Cpa,,87,US_ME
Rhodes Rochelle DDS,,80,US_RI
Campbell Rental,,65,US_ME
L Brook Henderson,,87,US_MT
Bazel Sepinoud MD,,80,US_VT
Overeaters Anonymous,,72,US_RI
Taragin David Lee MD,,80,US_DC
Macklins Diversified Service,,87,US_DE
Center For A Public Anthropology,,73,US_HI
Cornerstone Foundation,,86,US_SD
Latham Insurance Services LLC,,64,US_SD
Marcia L Flanagan,,73,US_ME
On Time Disposal,,49,US_RI
Dougherty Patrick T,,81,US_SD
Sean Charette,,87,US_ME
First Lutheran Church,,86,US_MT
Lila Mohler Mohler,,73,US_WY
Michael W Unger,,73,US_WV
Jerry Hanson & Associates Inc,,87,US_MT
Rj Upholstery,,76,US_WV
Vaughan Law Firm,,81,US_WV
Triune,,87,US_RI
Netezza Government Sales,,73,US_NH
Black Hills Brokers,,65,US_SD
Withrow Lon,,81,US_MT
Venture Crew 1776,,73,US_NH
South Seas Visuals,,80,US_HI
Ferragamo,,73,US_RI
CFO Today,,87,US_ME
Ravenell Wayne L & Naeemah,,73,US_DE
William F Glidden,,73,US_NH
James K Herstoff Md,,80,US_RI
P & L Sales Associates,,87,US_NH
Carroll Christina,,81,US_DC
Lawrence Wendy L,,80,US_VT
Cody J Ottley,,73,US_WY
Vopat Lisa MD,,80,US_RI
Chris It,,73,US_SD
Oiler Molli Morgan Maci,,73,US_WV
Indian Run Village Rih LLC,,65,US_RI
Robert L Williams,,73,US_RI
Infinite Lunacy LLC,,73,US_WY
Nicole C Sorg,,73,US_DC
Sandbaggers Game Club,,79,US_MT
Kelley Anna,,65,US_NH
Trinh Huy C DDS,,80,US_DC
Shannon' Hair Salon,,72,US_MT
Lsisha,,73,US_WV
Peter Converse,,73,US_RI
Power Creative Interiors,,73,US_DC
Trigen Insurance Solutions Inc,,64,US_DE
Vanessa Ellingson,,73,US_ND
Wqmc LLC,,73,US_NH
Tt Welding Fabrication,,76,US_WY
January Nardo,,73,US_DE
Earth Spirit Healing Center,,73,US_ME
Karis Enterprise,,73,US_DE
Ardos LLC,,73,US_DE
Stephen M Collins Constructio,,87,US_RI
J B E E Entertainment LLC,,79,US_DE
Calio Enterprises Inc,,73,US_MT
Sopher Marc MD,,80,US_NH
Farley Mary B,,80,US_WV
Moore's Enterprise Inc,,76,US_HI
121 Developments LLC,,65,US_MT
Tim Nichols,,73,US_WV
James Evans,,24,US_MT
Patrons Of Husbandry Maine State Grange,,86,US_ME
Flynn Consulting Group LLC,,87,US_RI
Eric K Steele,,73,US_ME
Thomas Hertnett Law Office,,81,US_DC
Nick Swyka,,76,US_DE
Wayne Michelson,,73,US_NH
Assoc Of Information Tech,,73,US_HI
Wv Power Resource,,87,US_WV
Tammy Wilson,,73,US_WV
Lamont CO,,87,US_SD
Lahaina Cross Fit,,79,US_HI
Ashley Haveman Photography,,72,US_ND
Kevin Boudreau,,73,US_VT
Ruth Tannberg,,73,US_HI
visão aberta,,80,PT
Parsons Linda,,80,US_WV
Back Door Partners LLC,,73,US_DE
Wiser LLC,,87,US_ND
Capitol Cleaning,,73,US_DC
Church of the Nazarene,,86,US_MT
Brandon Carpet Cleaning,,72,US_SD
Turner Realty,,65,US_HI
Analytical Psychology Ltd,,80,US_ME
Island Institute For Trama Recovery,,87,US_ME
Mccaffrey Professional Association,,81,US_NH
One Damned Designer,,73,US_ME
V K Leyendecker Reporting,,73,US_MT
Core Inc,,87,US_DC
Peake Energy Inc,,87,US_WV
Babin & Scalzo Law Office,,81,US_NH
Tri-County Hearing Center,,80,US_WV
Diamond Environmental,,87,US_WV
Cross It Off Event And Party Planning,,72,US_DE
St Anthony Catholic Church,,86,US_ND
Helen C Heath,,73,US_MT
Client Factor Inc,,87,US_ND
Best Pest Control Inc,,73,US_MT
Bartlett Tree Experts,,78,US_NH
Briscoe L Scott,,81,US_WV
Csk Inc,,59,US_VT
Dragging Y Cattle CO,,75,US_MT
Scott High Band Boosters,,86,US_WV
Technical Training Institute,,76,US_DE
Frank Babb Randolph Interior,,73,US_DC
Ladies Workout Express Of Goffstown,,79,US_NH
Doggy Maids,,73,US_DE
Sysenco LLC,,73,US_NH
Kings United Methodist Church,,86,US_DE
T-Shirts By Designes LLC,,73,US_DC
O'leary Handyman Services,,72,US_NH
Bigwinky Enterprises,,73,US_DE
Delaware Opthalmology Consultants,,87,US_DE
Andre Agency-Farmers Ins Group,,64,US_MT
Shirley L Dodson,,73,US_SD
James H Voyles,,73,US_SD
St Paul's United Methodist Chr,,86,US_NH
Landseer Enterprises LLC,,73,US_DE
Jesus Christ Unlimited Ministries Inc,,86,US_WV
V Enterprises,,73,US_NH
Home And Farm Services Lc,,78,US_MT
Donald P Bailey,,21,US_MT
Picture Perfect Gallery,,76,US_MT
Mbh Bookkeeping,,87,US_RI
John's Landscaping,,78,US_DE
Ken Block,,73,US_RI
Brocks Medical Billing & Services,,87,US_NH
antena 3 films sl,,78,ES
Nancie's Pet Sitting Service,,75,US_HI
Central Hall,,79,US_ME
Wan C Li,,73,US_DC
Vital Options For Wellness,,80,US_HI
Jack Houle Co,,73,US_NH
Thompson C Boyen CPA,,87,US_NH
Kenneth Sammon,,73,US_DE
Shawn Few,,73,US_MT
Travel Behavior,,87,US_DC
Seth Servais,,73,US_MT
Malloy John,,73,US_DE
John Tremain May,,81,US_DC
Bates Mark Cline MD,,80,US_WV
Ronald P Glancz Attorney,,81,US_DC
Matrix Sales Marketing,,87,US_RI
Bisson & Bisson Inc,,87,US_RI
Friess Family Office,,86,US_WY
Gonzalez Monica,,81,US_DC
John Penkala,,73,US_NH
Peterson Cpa Pc,,87,US_SD
State & Main Mediation,,73,US_VT
Edward Neal Donaghy,,73,US_ME
Mclean Government Solutions LLC,,87,US_DC
Choice Of Logic Technologies,,73,US_NH
Bryant Landscapes,,78,US_NH
Brent R Weston Attorney,,81,US_DC
Scopelitis Garvin,,81,US_DC
American Design,,86,US_RI
Linden L A N D Group,,78,US_VT
Mchugh Victoria & Charles,,73,US_DE
externe dienst voor preventie en bescherming op het werk mediwet,,80,BE
Yb Enterprises,,73,US_DE
Lum Stanley W O,,87,US_HI
Ellis Enterprises Inc,,73,US_MT
Susan Snowden Stuckey,,81,US_WV
Mealas Enterprices,,73,US_DE
Barbara L Pyle,,80,US_RI
April Interiors,,73,US_HI
Alison Foster,,87,US_VT
Yvonne's Consulting Service,,59,US_ME
Fargo Gastroenterology & Hepat,,80,US_ND
St John Wendy,,80,US_WY
Ask Ministries Inc,,86,US_DE
133 State Street Property LLC,,65,US_ME
Daves Commercial Cleaning,,73,US_ME
Bill At Once,,87,US_DC
Harris Catherine MD,,80,US_DE
Robert V Bethel Jr,,86,US_NH
Weddings Of Hawaii,,72,US_HI
Joseph J Rodweller,,73,US_ME
Bernard W Corey,,73,US_VT
Roland Nygaard,,80,US_MT
Images For You,,73,US_RI
Affordable Tree Service Inc,,78,US_ME
Young Bruce,,86,US_WV
Khc Maintenance LLC,,73,US_WV
Salmon Falls River Beagle Club,,86,US_ME
Color Nail Spa,,79,US_DC
Leroy T Kuwasaki Jr Law Office,,81,US_HI
King Family Cookhouse,,73,US_ME
Photography By Kelly,,73,US_NH
Bubba's Accounting Offices,,87,US_WY
Gravity Laboratory Service,,73,US_RI
Mjm Structural Inc,,73,US_RI
Abundant Life Community Church,,86,US_ND
Adams Notary,,73,US_ME
Green Stephen MD,,80,US_DC
Mad Town Marketing LLC,,87,US_DE
Ronald H Steele,,73,US_NH
Patrick J Mcevoy Cpa,,87,US_DC
Bella Consulting Events,,87,US_RI
Acoba,,73,US_HI
Mattes Merchandising,,73,US_NH
Trista Enterprises Inc,,73,US_WV
Paul H Toyozaki,,81,US_HI
Wheeler Enterprises,,87,US_WV
Management & Operating,,87,US_WV
Johnson Brothers Recycle,,24,US_MT
Ben A Britton,,73,US_WY
Alliance,,65,US_DE
Beckley Ms Support Group,,87,US_WV
Rich John,,73,US_WY
Massage By Mira,,72,US_ND
H And G Upholstering,,76,US_ME
Jon Barrett Associates Inc,,87,US_RI
Bluewell Church of God,,86,US_WV
Mark D Burnham,,73,US_ME
First State Road Rattlerz Club,,79,US_DE
Connor Lisa & Nathan,,73,US_DE
Sysman Consulting,,87,US_HI
Galiher Gary,,81,US_HI
Maui Recycling Group Inc,,83,US_HI
Truesdale Kelly A DO,,80,US_SD
Lawrence E Smith,,73,US_ME
Degussa International Inc,,73,US_DE
Teocanin Safet,,73,US_VT
Internal Medicine & Geriatric,,80,US_WV
Chad Anderson,,73,US_SD
A-1 Enviro Service,,49,US_NH
William T Murphy Law Offices,,81,US_RI
Duprey J Architectural Drafting,,73,US_VT
J&M Landscaping,,78,US_RI
Thomas A Rowe,,73,US_ME
Laliberte Douglas P DDS,,80,US_ME
Affordable Legal Service,,81,US_HI
Quillin Franklin W Jr Dntst,,80,US_WV
Nickerson Hill Farm,,24,US_ME
Bert Fulks,,73,US_WV
Strahm Industries,,73,US_ND
Weldon Leonard DDS,,80,US_NH
Collingwood & Meredith,,87,US_VT
Horizons Unlimited Inc,,73,US_ME
State Distributing CO,,73,US_WV
Lavatech,,87,US_HI
Alliance Pest Solutions LLC,,73,US_DE
metta graf,,78,BR
Johnson's Repair Service,,76,US_VT
Eager For Knowledge,,87,US_NH
Blue Collar Janitorial,,73,US_NH
Apollo Security Inc,,73,US_RI
Cartouche Day Spa & Boutique,,79,US_WY
H & R Block Franchise Headquarters,,87,US_MT
Work In Process Inc,,73,US_DE
Shane J Warfield,,73,US_MT
David Olsen,,73,US_DE
Missouri Basin Secured Services,,73,US_SD
Ingerson Landscaping LLC,,78,US_NH
Perez Miriam,,64,US_MT
Lynette E Krajewski,,73,US_ME
Josy S Candle Consulting,,87,US_WY
Terri Hansen Hansen,,73,US_WY
C R Amusements LLC,,79,US_RI
Kustom Sounds Kauai,,79,US_HI
Burlshire Kennels,,75,US_NH
Blees Willem,,76,US_HI
Clifford Michael T,,81,US_WV
Dave's A/C Service,,76,US_HI
Powertown LLC,,73,US_NH
David Yew Md,,80,US_HI
Peter A Haskins,,73,US_NH
Camakos Travel LLC,,47,US_WY
Gozzies Garage,,55,US_NH
Alan R Cennamo,,73,US_VT
Kauahikaua & Chun,,87,US_HI
Egf Blue Line Club,,79,US_ND
Normandin Paul L,,81,US_NH
Valley Ventures Incorporated,,87,US_WV
Dennie Pirsch Attorney,,81,US_DC
Ryan M Carlson Attorney,,81,US_ND
Diagnostic Medical Imaging,,80,US_NH
Mclucky LLC,,73,US_WV
Chart Chaser,,73,US_VT
Ellis Jeff Backhoe & Lawn Care,,78,US_NH
Ruth Dennis LLC,,73,US_VT
John J Dischert Sr,,87,US_DE
Catherine Crockett Photog,,72,US_ME
Fishon Charters,,79,US_DE
St Albans Student of Dance,,79,US_WV
White Mountain Brazilian Jiu-J,,79,US_NH
Discovery Home Inspections,,73,US_NH
Premier Iron Designs,,76,US_ND
Walter Marshall,,73,US_DE
Premier Tree Service,,78,US_RI
Odd Jobs R' Us,,73,US_ME
Dream Cleaners,,76,US_WV
Houlton Humane Society,,86,US_ME
Joel Sehrt,,73,US_ND
Hooked On Nails,,72,US_WY
Bella Fem Beauty Salon,,72,US_WV
Sasser John M MD,,80,US_WV
Riverside Associates Inc,,79,US_MT
Rinaldi Ronald,,81,US_DC
Law Office Of Christopher B Gr,,81,US_MT
Ritter Warren,,73,US_ND
Regal Nails,,72,US_RI
Mad Mariner,,73,US_DC
Capital Equity Management Group LLC,,87,US_DC
Alcedonia Boating LLC,,73,US_RI
Philip S Mehall,,81,US_NH
Community Development Inc,,87,US_RI
The B Hamilton Group,,87,US_DC
Dawson & Daughters,,73,US_DE
braintech canada inc.,,73,CA
Atlantic Security International,,73,US_DE
Culvahouse Arthur B,,81,US_DC
Aalberg Enterprises,,87,US_SD
Bill Once,,87,US_DC
Platinum Salon,,72,US_MT
Flansbury Animal Care,,72,US_NH
Upper Blackfoot Historical,,84,US_MT
council of latino agencies,,80,US_DC
Yvan Chretien,,73,US_NH
Jeff Webb,,73,US_WV
William Biegenwald Law Offices,,81,US_HI
Mc Henry Patricia J,,81,US_HI
Fowler Consulting Services LLC,,87,US_RI
D & Sw Enterprises Inc,,87,US_RI
Midstate Towing And Repair LLC,,76,US_WV
Alpine Spring Management,,87,US_NH
Ladies Aid Society Of Hillsborough,,81,US_NH
Kristy Rauscher,,73,US_SD
Timothy Prescott,,73,US_ND
centro de ecologia aplicada limitada,,80,CL
M T Lawen Language Service,,82,US_HI
Lengkeek Safe Sales,,73,US_WY
Phs - Indian Hospital,,80,US_ND
Silver Maple Landscaping,,78,US_NH
Madison Valley Med Center Rehab,,80,US_MT
Hayes Landscaping,,78,US_VT
Dr K's Vintage,,80,US_DC
Addie M Gove,,73,US_ME
ouihop',,73,FR
A Boss Law Firm Plc,,81,US_HI
Pro Management,,87,US_RI
Amato Travel,,47,US_RI
Htm Rolloff Service,,49,US_HI
Brookfield U S Foundation,,86,US_NH
Barnes Curt Cleaning Serv,,76,US_ME
Sandy's Happy Tails,,75,US_NH
Alexandra Torres,,76,US_DE
Guza Williams Nesbitt,,81,US_MT
Wayne's Lane's & Jo's Grill Inc,,79,US_VT
Silvia Saucy Inc,,79,US_RI
Sasu's Hair & Tanning Salon,,72,US_WV
Balm In Gilead Church,,86,US_DC
Kidner Rebecca,,81,US_DE
Enticing Scents,,73,US_ND
Vitalworks Group Inc,,73,US_ME
My Stage Coach Inc,,73,US_ND
Wildlife Recreation Taxidermy,,76,US_ME
Mainely Investigations,,73,US_ME
Sandy Morman,,72,US_WY
Lewis Co Youth Football,,79,US_WV
Tipton Environmental Consltng,,87,US_ME
Jerusalem Church Of God In Christ Inc,,86,US_DC
Mark A Bruzonsky,,73,US_DC
Call And Response Foundation Inc,,86,US_VT
Weekapaug Tennis Club,,86,US_RI
Wilkins Cade,,73,US_DE
Bitterroot Fire Ecology Services,,87,US_MT
Griffin Litchfield Associates,,65,US_NH
Quality Tree Service,,78,US_MT
Iahim Mohamed MD,,80,US_WV
James B Walter Sr,,73,US_ND
Brockley Annesse,,73,US_SD
rose cottage health care ctr,,80,US_RI
microage - dil,,73,CA
Bolder Stoneworks,,78,US_ME
Charles L Depriest Ii,,73,US_WV
Sid And Cecelia Lance Family Foundation,,86,US_VT
Fellowship Baptist Church,,86,US_WV
Star Cleaning Services LLC,,76,US_DC
Timothy A Gisi,,73,US_SD
Colonial Parking Inc,,75,US_DC
Rosalind L Cutlip,,73,US_WV
Franks Mechanical Service,,75,US_ME
Krupnick Consulting LLC,,87,US_NH
Anthony Integrated Management LLC,,87,US_NH
Saucier Ronald Babe,,49,US_ME
Herlihy C Stephen,,81,US_WY
James Quinn,,73,US_ME
May Accounting Professional Pllc,,87,US_WV
Mohammed S Jaudally,,73,US_DC
Hot Springs Health & Rehab Center,,80,US_MT
Di Bartolomeo Jennie,,80,US_NH
Dt Developers Inc,,80,US_ME
Dynasty Enterprises,,73,US_DE
William M Forenski,,73,US_DE
John Penfield Ltd,,75,US_VT
Simpson Jr Dean J,,81,US_DE
pontual negócios imobiliários,,65,BR
Nu Health Store,,87,US_NH
Flat Creek Enterprises LLC,,87,US_WY
Tri-Bob Realty L L C,,65,US_NH
Double Eagle Biomedical Inc,,80,US_MT
Maine Health Ins Consumer,,64,US_ME
The Homestead Group,,73,US_RI
Honest Herb,,73,US_VT
Tanabe Lynn,,65,US_HI
Dunbar Charles D,,81,US_WV
Frisk James L MD,,80,US_ND
Silbernagel Angus Farm,,75,US_ND
lux vide,,78,IT
Mc88 Associates Ltd,,73,US_HI
Mr Laura Hodge And Co,,73,US_HI
James H Merritt,,73,US_NH
Naskat Realty LLC,,65,US_NH
Ria Shanning,,73,US_ME
H Ted Meyermann Jr,,76,US_DE
Mexico Missions Teams Of Hawaii,,86,US_HI
Kenneth Merchant,,73,US_WV
Robertus Farms LLC,,13,US_MT
Gaynor Bea MD,,73,US_DE
L J Entertainment,,79,US_MT
Morrill Baptist Church,,86,US_ME
Doubledecker Tours,,79,US_DC
Behavior Manage Ment Couns,,87,US_SD
Tropical Tans Inc,,72,US_RI
steele county human services,,80,US_ND
Maxwel Design Group,,73,US_HI
Morrisville Engraving & Trophy,,73,US_VT
Bernabei & Wachtel,,81,US_DC
Uvm Abenaki Project,,86,US_VT
J S Lawn Care,,78,US_DE
Donnelly Photography,,72,US_RI
Tender Women Cleaning Service LLC,,76,US_DE
Merton G Pete Jr,,73,US_ME
Packard Ee Enterprises,,73,US_VT
Amma Alterations,,72,US_ME
Omni Information Systems Inc,,73,US_DE
Alcohol Aaaaha Abuse,,80,US_WV
Riccitelli Richard CPA,,87,US_RI
Inner Solutions LLC,,87,US_VT
Susan Lenaghan Design,,73,US_NH
Filson Charters LLC,,73,US_NH
Debbie's Pet Sitting & Dog,,72,US_NH
Burros Assembly,,86,US_VT
swiss foundation for innovation and training in surgery (sfits),,80,CH
Custom Maid Cleaning,,73,US_ND
Ives Group,,73,US_NH
Regina O'flaherty Aroma Massage,,72,US_VT
Media Faxes LLC,,87,US_WV
Bob Onne Acupressure Massage,,72,US_VT
Beazer East Inc,,80,US_NH
Moore's Auction Service,,73,US_WV
Choice Auto Glass,,75,US_ND
Bouranis,,73,US_NH
Tr Financial,,87,US_RI
Melcher My-Chi,,80,US_HI
Www Cateringbymercedes Com,,73,US_SD
Janet Hagan & Assoc Inc,,65,US_ME
Anderson Farms,,76,US_ND
Noir Hawali,,73,US_HI
William Perry Makee Post 75 Of The American Legion,,86,US_ND
Stewart B Hannon & Associates,,73,US_NH
Synergy Staffing,,87,US_NH
Frank Bodlovic,,73,US_MT
Cynthia M Ferguson Cpa,,87,US_ME
R E Williams Pro Acctng Firm,,87,US_DE
Green World Aberdeen,,73,US_SD
Lurline Mau Ltd,,73,US_HI
Hudson James,,73,US_DE
Stimers R Paul,,81,US_DC
Christine D Harrington,,73,US_NH
William James Love,,73,US_MT
Internet Marketing Service,,87,US_WY
James Morad,,73,US_DC
Data Resources Corp,,87,US_WV
Bruce G Joseph,,81,US_DC
Kinney Bookkeeping & Tax Services LLC,,87,US_NH
Harco Enterprises LLC,,87,US_MT
Eastern League,,86,US_ME
Roxanne L Schumacher,,73,US_SD
Piney Creek Appraisals,,73,US_WY
Park Deerfield Inc,,73,US_SD
Kristin M Froehlich Lcsw,,80,US_DE
Ram Enterprises Inc,,73,US_MT
Boller Enterprises,,87,US_WY
Lam Howman MD,,80,US_HI
Smith James & D'lo,,65,US_WY
Stacy N Clay-Gibson,,73,US_WV
4k Greenhouse LLC,,16,US_WY
Oliver James D MD,,80,US_DC
Delmar Woodcraft,,76,US_DE
Todd Whitaker,,73,US_ME
Party Gals,,72,US_MT
West Liberty Christian Church,,86,US_WV
Fair Witness Home Inspections,,86,US_VT
National Mortgage Real Estate Corp,,87,US_HI
Porter Webber,,73,US_NH
Spencer Group,,73,US_MT
Spanish Speaking Apostolate,,86,US_NH
Mc Letchie Earland C,,81,US_NH
Health Management Worldwide,,87,US_WY
Gene Stone,,64,US_MT
West Fargo Lions Club,,86,US_ND
Kathleen M Gompers,,87,US_WV
Whoda Thunkit Stable,,75,US_DE
Photography By Tanya,,72,US_NH
New Reflections,,72,US_HI
Copesetic Inc,,73,US_SD
Global Finance Associates Inc,,87,US_DC
Fred Schultze,,24,US_ME
Patricia Loon,,73,US_ME
Bennie Johnson,,86,US_DC
Butler Business Realty Specialist,,65,US_RI
G Michael Goudy Inc,,78,US_DE
Bernier Ron Oil Burner & Boiler,,73,US_NH
Benno Amy Grosche Lmt,,72,US_ND
Le Paresseux Inc,,86,US_ME
John T Lucas,,73,US_HI
Lakos Concetta M,,87,US_NH
Accounting Business Center,,87,US_NH
societe dauphinoise pour l habitat,,65,FR
Pro Tech Carpet & Upholstery,,72,US_RI
Todd Kendle,,73,US_SD
Kim Jeong H MD,,80,US_HI
girafe conseils,,73,CA
Riconn Security Inc,,73,US_RI
Martin Santos Properties,,65,US_DC
Family Detailing,,75,US_RI
Firefly Ranch Limited Part,,29,US_MT
Ronald Everett,,73,US_ME
Bruce A & Mary Anne Berga,,73,US_WY
Spoon Maine,,73,US_ME
Anthony Robinson,,87,US_MT
Solar Planet Tanning-Cleveland,,72,US_DC
Britt Cornelius L MD,,80,US_WY
Parent David T Management Service,,87,US_NH
Sandra Reyes,,73,US_DE
Barber James M,,81,US_WV
Dennis Grasso,,73,US_WY
Chris Ward,,73,US_ME
Timothy J Myron,,73,US_ND
U-Haul Neighborhood Dealer,,75,US_ME
Extra Large Music Inc,,79,US_NH
Mark G Boutlier,,73,US_ME
Whitt's Architectural Plans,,87,US_WV
Wghtx Tic 11 LLC,,73,US_HI
Lead Tech Inc,,87,US_NH
Lund Stefan A,,80,US_DC
Thomas Telecom Solutions LLC,,73,US_DE
Louanne Sonsteng Ljk Marketing,,87,US_MT
William Harby,,73,US_HI
Medical Business Admin,,87,US_WV
Stephens Group,,87,US_DC
Exotic Entertainment Of N,,79,US_RI
Hartley Shaun D,,81,US_DC
Mountaineer Photographic Memories,,72,US_WV
Frank David H,,87,US_ME
Jerrel & Janice Barto Fam Fdn,,86,US_DE
Byrd Curtis And Associates,,73,US_WV
Ruth Ann Maynard,,73,US_WV
Ooh Lala Doggy Spa,,79,US_WV
Pawsibilitis Pet Grooming,,75,US_ME
Newbury Enterprises LLC,,73,US_RI
Daniel Langlois,,73,US_ME
Rhonda Taylor Realtor,,65,US_ME
Groomin' Room,,75,US_NH
James Witt,,21,US_ND
Jerod Putnam,,73,US_WV
Kenneth Schafer,,73,US_SD
Collega USA LLC,,73,US_VT
Delmarva Hydroseeding LLC,,72,US_DE
Stonehouse Surface Speclsts,,73,US_NH
Kunisawa Realty Inc,,65,US_HI
Gp Smith Enterprises Inc,,73,US_DE
Michael Bessette Woodwork,,73,US_ME
Jesse Miller,,87,US_WY
Funds Access Incorporated,,87,US_ND
Aaron Sh Yoo Law Offices,,81,US_HI
Kipel Alice A,,81,US_DC
Jws,,73,US_RI
Chora LLC,,87,US_DC
L J Donnelly,,87,US_DC
Narico Inc,,76,US_DC
